,3gppSub,3gppUrb,dist,logDist,okumMetro,okumRural,okumSmall,okumSub,poly3,poly6
99,-103.339284228663,-106.339284228663,100,-121.687152180378,-30.6767371614039,-2.23064883488718,-30.6223955501034,-20.774076146431,-96.741,-97.8103
100,-103.468183261443,-106.468183261443,101,-121.777036755057,-30.8056361941836,-2.35954786766683,-30.7512945828831,-20.9029751792106,-96.817646791,-98.0587602982373
101,-103.595812332366,-106.595812332366,102,-121.866035753026,-30.9332652651062,-2.48717693858945,-30.8789236538057,-21.0306042501332,-96.891749128,-98.2987575112368
102,-103.72219622177,-106.72219622177,103,-121.954166454246,-31.0596491545108,-2.61356082799411,-31.0053075432104,-21.1569881395379,-96.963339957,-98.5300752244502
103,-103.847358991703,-106.847358991703,104,-122.041445637793,-31.1848119244432,-2.73872359792647,-31.1304703131427,-21.2821509094703,-97.032452224,-98.7525156121805
104,-103.971324013411,-106.971324013411,105,-122.127889601033,-31.3087769461511,-2.86268861963441,-31.2544353348507,-21.4061159311782,-97.099118875,-98.9658991580625
105,-104.094113993536,-107.094113993536,106,-122.213514177886,-31.431566926277,-2.98547859976031,-31.3772253149766,-21.5289059113041,-97.163372856,-99.1700643728886
106,-104.21575099908,-107.21575099908,107,-122.298334756231,-31.5532039318205,-3.10711560530379,-31.49886232052,-21.6505429168476,-97.225247113,-99.3648675097765
107,-104.336256481199,-107.336256481199,108,-122.382366294507,-31.6737094139399,-3.22762108742321,-31.6193678026395,-21.771048398967,-97.284774592,-99.5501822766797
108,-104.455651297916,-107.455651297916,109,-122.465623337543,-31.793104230657,-3.34701590414029,-31.7387626193565,-21.8904432156841,-97.341988239,-99.7258995462431
109,-104.573955735784,-107.573955735784,110,-122.548120031669,-31.9114086685247,-3.46532034200799,-31.8570670572242,-22.0087476535518,-97.396921,-99.8919270629999
110,-104.691189530574,-107.691189530574,111,-122.629870139141,-32.0286424633147,-3.58255413679795,-31.9743008520142,-22.1259814483417,-97.449605821,-100.048189147912
111,-104.807371887036,-107.807371887036,112,-122.710887051918,-32.1448248197767,-3.69873649325994,-32.0904832084762,-22.2421638048037,-97.500075648,-100.194626400256
112,-104.92252149778,-107.92252149778,113,-122.791183804834,-32.2599744305203,-3.81388610400354,-32.2056328192198,-22.3573134155473,-97.548363427,-100.331195396846
113,-105.036656561324,-108.036656561324,114,-122.870773088177,-32.3741094940642,-3.92802116754746,-32.3197678827637,-22.4714484790912,-97.594502104,-100.457868388611
114,-105.149794799357,-108.149794799357,115,-122.949667259734,-32.4872477320979,-4.04115940558112,-32.4329061207974,-22.5845867171249,-97.638524625,-100.5746329945
115,-105.261953473255,-108.261953473255,116,-123.027878356298,-32.5994064059954,-4.15331807947864,-32.5450647946949,-22.6967453910224,-97.680463936,-100.681491892746
116,-105.37314939988,-108.37314939988,117,-123.105418104699,-32.7106023326209,-4.26451400610419,-32.6562607213204,-22.807941317648,-97.720352983,-100.778462509463
117,-105.483398966721,-108.483398966721,118,-123.182297932346,-32.8208518994614,-4.37476357294467,-32.7665102881609,-22.9181908844885,-97.758224712,-100.865576704588
118,-105.59271814638,-108.59271814638,119,-123.258528977343,-32.9301710791207,-4.48408275260392,-32.8758294678202,-23.0275100641477,-97.794112069,-100.942880455171
119,-105.701122510467,-108.701122510467,120,-123.334122098169,-33.0385754432072,-4.59248711669043,-32.9842338319067,-23.1359144282342,-97.828048,-101.010433536
120,-105.808627242905,-108.808627242905,121,-123.409087882961,-33.1460801756455,-4.69999184912881,-33.0917385643451,-23.2434191606726,-97.860065451,-101.068309197577
121,-105.9152471527,-108.9152471527,122,-123.483436658413,-33.2527000854401,-4.80661175892335,-33.1983584741396,-23.3500390704671,-97.890197368,-101.116593841435
122,-106.020996686177,-109.020996686177,123,-123.557178498318,-33.3584496189174,-4.91236129240068,-33.3041080076169,-23.4557886039445,-97.918476697,-101.155386692793
123,-106.125889938733,-109.125889938733,124,-123.630323231753,-33.4633428714735,-5.01725454495679,-33.409001260173,-23.5606818565006,-97.944936384,-101.184799470561
124,-106.229940666108,-109.229940666108,125,-123.702880450946,-33.5673935988489,-5.12130527233212,-33.5130519875484,-23.6647325838759,-97.969609375,-101.204956054688
125,-106.333162295214,-109.333162295214,126,-123.774859518824,-33.6706152279544,-5.22452690143766,-33.6162736166539,-23.7679542129814,-97.992528616,-101.215992150844
126,-106.435567934529,-109.435567934529,127,-123.846269576262,-33.7730208672696,-5.32693254075284,-33.7186792559691,-23.8703598522966,-98.013727053,-101.21805495246
127,-106.537170384092,-109.537170384092,128,-123.917119549054,-33.8746233168327,-5.42853499031597,-33.8202817055322,-23.9719623018598,-98.033237632,-101.211302800097
128,-106.637982145102,-109.637982145102,129,-123.987418154603,-33.9754350778423,-5.52934675132558,-33.9210934665418,-24.0727740628694,-98.051093299,-101.195904838169
129,-106.738015429148,-109.738015429148,130,-124.057173908361,-34.0754683618882,-5.62938003537142,-34.0211267505877,-24.1728073469152,-98.067327,-101.172040669
130,-106.837282167088,-109.837282167088,131,-124.126395130018,-34.1747350998281,-5.72864677331139,-34.1203934885276,-24.2720740848552,-98.081971681,-101.139900004233
131,-106.935794017587,-109.935794017587,132,-124.19508994946,-34.273246950328,-5.82715862381125,-34.2189053390275,-24.370585935355,-98.095060288,-101.099682313574
132,-107.033562375338,-110.033562375338,133,-124.263266312494,-34.3710153080786,-5.9249269815619,-34.3166736967782,-24.4683542931057,-98.106625767,-101.051596470889
133,-107.130598378965,-110.130598378965,134,-124.330931986366,-34.4680513117057,-6.02196298518894,-34.4137097004052,-24.5653902967327,-98.116701064,-100.995860397632
134,-107.226912918644,-110.226912918644,135,-124.398094565075,-34.5643658513849,-6.11827752486814,-34.5100242400844,-24.6617048364119,-98.125319125,-100.932700703625
135,-107.322516643436,-110.322516643436,136,-124.464761474479,-34.6599695761767,-6.21388124965993,-34.6056279648762,-24.7573085612037,-98.132512896,-100.862352325181
136,-107.417419968351,-110.417419968351,137,-124.530939977232,-34.754872901092,-6.30878457457525,-34.7005312897915,-24.852211886119,-98.138315323,-100.785058160567
137,-107.511633081161,-110.511633081161,138,-124.596637177524,-34.8490860139011,-6.40299768738436,-34.7947444026006,-24.9464249989281,-98.142759352,-100.701068702806
138,-107.605165948956,-110.605165948956,139,-124.661860025664,-34.9426188816967,-6.49653055517994,-34.8882772703962,-25.0399578667237,-98.145877929,-100.610641669837
139,-107.698028324481,-110.698028324481,140,-124.726615322486,-35.0354812572216,-6.58939293070488,-34.9811396459211,-25.1328202422487,-98.147704,-100.514041632
140,-107.790229752231,-110.790229752231,141,-124.79090972361,-35.1276826849716,-6.68159435845487,-35.0733410736711,-25.2250216699987,-98.148270511,-100.411539636878
141,-107.881779574342,-110.881779574342,142,-124.854749743546,-35.2192325070822,-6.77314418056542,-35.1648908957817,-25.3165714921092,-98.147610408,-100.303412831473
142,-107.972686936268,-110.972686936268,143,-124.918141759652,-35.310139869009,-6.86405154249223,-35.2557982577085,-25.407478854036,-98.145756637,-100.189944081735
143,-108.06296079227,-111.06296079227,144,-124.98109201596,-35.4004137250104,-6.95432539849368,-35.3460721137099,-25.4977527100375,-98.142742144,-100.071421589422
144,-108.1526099107,-111.1526099107,145,-125.043606626866,-35.4900628434403,-7.04397451692358,-35.4357212321398,-25.5874018284674,-98.138599875,-99.9481385063123
145,-108.241642879118,-111.241642879118,146,-125.105691580695,-35.5790958118588,-7.13300748534208,-35.5247542005583,-25.6764347968859,-98.133362776,-99.8203925457589
146,-108.330068109228,-111.330068109228,147,-125.16735274314,-35.6675210419688,-7.2214327154521,-35.6131794306684,-25.7648600269959,-98.127063793,-99.688485591583
147,-108.417893841645,-111.417893841645,148,-125.228595860594,-35.7553467743852,-7.30925844786842,-35.7010051630847,-25.8526857594122,-98.119735872,-99.5527233043148
148,-108.505128150502,-111.505128150502,149,-125.289426563354,-35.8425810832429,-7.39649275672618,-35.7882394719424,-25.93992006827,-98.111411959,-99.4134147247747
149,-108.591778947912,-111.591778947912,150,-125.349850368737,-35.9292318806521,-7.48314355413537,-35.8748902693516,-26.0265708656792,-98.102125,-99.2708718749998
150,-108.677853988263,-111.677853988263,151,-125.409872684076,-36.0153069210038,-7.56921859448709,-35.9609653097033,-26.1126459060309,-98.091907941,-99.1254093565129
151,-108.763360872394,-111.763360872394,152,-125.46949880963,-36.1008138051347,-7.65472547861793,-36.0464721938342,-26.1981527901617,-98.080793728,-98.9773439459325
152,-108.848307051614,-111.848307051614,153,-125.528733941384,-36.1857599843544,-7.73967165783764,-36.1314183730539,-26.2830989693814,-98.068815307,-98.8269941879318
153,-108.932699831602,-111.932699831602,154,-125.587583173777,-36.2701527643424,-7.8240644378257,-36.2158111530419,-26.3674917493695,-98.056005624,-98.6746799855323
154,-109.016546376178,-112.016546376178,155,-125.64605150232,-36.3539993089185,-7.90791098240172,-36.299657697618,-26.4513382939455,-98.042397625,-98.5207221877502
155,-109.099853710951,-112.099853710951,156,-125.704143826151,-36.4373066436914,-7.99121831717466,-36.3829650323909,-26.5346456287185,-98.028024256,-98.3654421745765
156,-109.182628726852,-112.182628726852,157,-125.76186495049,-36.5200816595922,-8.07399333307541,-36.4657400482917,-26.6174206446192,-98.012918463,-98.2091614393096
157,-109.264878183553,-112.264878183553,158,-125.81921958903,-36.602331116294,-8.15624278977729,-36.5479895049935,-26.6996701013211,-97.997113192,-98.0522011682234
